OBJECTID,NYCEM_ID,FACILITY_NAME,ADDRESS,BOROUGH,ZIP_CODE,PHONE,HANDICAP_ACCESS,EXTENDED_HOURS,STATUS,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,X,Y,FACILITY_TYPE,Entrance_info
339,CC1027,Mott Haven Educational Campus,730 Concourse village West,Bronx,10451,,Yes,No,OPEN,8a-5p,8a-5p,8a-5p,8a-5p,8a-5p,8a-5p,,1005604,238669,School,
341,CC1026,PS/IS 194,2365 Waterbury Avenue,Bronx,10462,,Yes,No,OPEN,8a-5p,8a-5p,8a-5p,8a-5p,8a-5p,8a-5p,,1026741,243660,School,
343,CC561,Hunts Point Recreation Center,765 Manida St,Bronx,10474,(718) 860-5544,No,No,OPEN,11a-7p,11a-7p,11a-7p,11a-7p,11a-7p,10a-6p,,1014909.115,236207.9548,Community center,
345,CC516,Bronx Tremont Corps Comm Center,2121 Washington Av,Bronx,10457,(718) 584-6250,Yes,Hours may be extended during a heat emergency.,OPEN,9a-5p,9a-5p,9a-5p,9a-5p,9a-5p,9a-5p,,1013165,249777,Community center,
346,CC025,Bronx Center Library,310 East Kingsbridge Rd,Bronx,10458,(718) 579-4244,Yes,No,OPEN,9a-9p,9a-9p,9a-9p,9a-9p,10a-8p,10a-8p,,1013415,253710,Library,
348,CC402,Kingsbridge Library,291 W 231 St,Bronx,10463,(718) 548-5656,Yes,No,OPEN,10a-7p,10a-7p,10a-7p,10a-7p,10a-5p,10a-5p,,1009769.843,260157.5788,Library,
354,CC134,CCNS St Charles NSC - SENIORS ONLY,55 Pierrepont St,Brooklyn,11201,(718) 855-0326,Yes,No,OPEN,9:30a-5:30p,9:30a-8p,9:30a-8p,9:30a-8p,9:30a-8p,11a-4p,,985621.9999,192861.0002,Senior center,
356,CC417,Carroll Gardens Library,396 Clinton St,Brooklyn,11231,(718) 596-6972,Yes,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,984789,188194,Library,
360,CC416,Red Hook Library,7 Wolcott St,Brooklyn,11231,(718) 935-0203,Yes,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,981373,185285,Library,
368,CC1034,Pacific Library,25 4 Ave,Brooklyn,11217,,No,,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,990200.4917,188278.6947,Library,
371,CC274,Park Slope Library,431 6 Av,Brooklyn,11215,(718) 832-1853,Yes,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,988853.1129,182732.8637,Library,
373,CC371,Brooklyn Central Library,10 Grand Army Plz,Brooklyn,11238,(718) 230-2100,Yes,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,993072.0581,184261.856,Library,Entrance from street level at Eastern Parkway side of building
378,CC142,H Gilroy NSC - SENIORS ONLY,447 Kingsborough 4 Walk,Brooklyn,11233,(718) 756-8400,Yes,Hours may be extended during a heat emergency.,OPEN,8a-4p,10a-6p,10a-6p,10a-6p,10a-6p,10a-4p,,1005164.469,185243.6525,Senior center,
381,CC414,Eastern Parkway Library,1044 Eastern Pkwy,Brooklyn,11213,(718) 953-4225,Yes,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,1002666,182818,Library,
387,CC431,Stuyvesant Gardens,214 Stuyvesant Av,Brooklyn,11221,(718) 226-0481,Yes,Hours may be extended during a heat emergency.,OPEN,6p-10p,6p-10p,6p-10p,6p-10p,6p-10p,3p-11p,3p-11p,1002775.127,189874.1919,Cornerstone Program,
390,CC366,Macon Library,361 Lewis Av,Brooklyn,11233,(718) 573-5606,Yes,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,1002336,188125,Library,
393,CC562,Marcy Library,617 DeKalb Av,Brooklyn,11216,(718) 935-0032,Yes,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,997759.0832,191256.7478,Library,
396,CC126,Clinton Hill Library,380 Washington Av,Brooklyn,11238,(718) 398-8713,Yes,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,993680.9947,189714.0682,Library,
399,CC364,Grace Agard Harewood NSC - SENIORS ONLY,966 Fulton St,Brooklyn,11238,(718) 638-6910,Yes,No,OPEN,9a-5p,10a-6p,10a-6p,10a-6p,10a-6p,10a-4p,,994728,187843,Senior center,
400,CC273,Walt Whitman Library,93 St Edwards St,Brooklyn,11205,(718) 935-0244,No,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,990423,192292,Library,
403,CC267,Williamsburg Library,240 Division Av,Brooklyn,11211,(718) 302-3485,Yes,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,996007,196834,Library,
405,CC476,CCNS Northside NSC - SENIORS ONLY,179 North 6 St,Brooklyn,11211,(718) 387-2316,No,No,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,10a-6p,,996125.9999,200442.0001,Senior center,
406,CC991,P.S. 84,250 Berry Street,Brooklyn,11249,,Yes,No,OPEN,8a-5p,8a-5p,8a-5p,,,8a-5p,,994383,199682,School,
407,CC363,Krakus Luncheon Club NSC - SENIORS ONLY,176 Java St,Brooklyn,11222,(718) 383-3434,Yes,Hours may be extended during a heat emergency.,OPEN,8a-4p,9a-7p,9a-7p,9a-7p,9a-7p,9a-4p,,997135.0001,205780.9999,Senior center,
408,CC127,Greenpoint Library,107 Norman Av,Brooklyn,11222,(718) 349-8504,Yes,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,997915.993,203791.9756,Library,
415,CC053,Bushwick Library,340 Bushwick Av,Brooklyn,11206,(718) 602-1348,Yes,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,1000986.226,195970.1091,Library,
416,CC954,NYC Vaccine Hub - The Jefferson,1300 Flushing Ave,Brooklyn,11237,,Yes,No,OPEN,,,,10a-8p,10a-8p,10a-8p,10a-8p,1005892.672,197588.8992,Other,
425,CC052,Washington Irving Library,360 Irving Av,Brooklyn,11237,(718) 628-8378,Yes,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,1008586,193403,Library,
428,CC588,Brownsville Library,61 Glenmore Ave,Brooklyn,11212,(718) 498-9721,Yes,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,1009603.637,183944.3293,Library,
433,CC865,J.H.S. 292 Margaret S. Douglas,301 VERMONT STREET,Brooklyn,11207,,No,Hours may be extended during a heat emergency.,OPEN,8a-5p,8a-5p,8a-5p,,,8a-5p,,1013840.668,183823.8594,School,
434,CC407,Stone Avenue Library,581 Mother Gaston Blvd,Brooklyn,11212,(718) 485-8347,Yes,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,1010545.456,181373.0884,Library,
435,CC781,P.S. 013 Roberto Clemente,557 PENNSYLVANIA AVENUE,Brooklyn,11207,,No,Hours may be extended during a heat emergency.,OPEN,8a-5p,8a-5p,8a-5p,,,8a-5p,,1013858.378,181164.6115,School,
437,CC075,New Lots Library,665 New Lots Av,Brooklyn,11207,(718) 649-0311,Yes,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,1015859,181645,Library,
438,CC989,P.S. 7,858 Jamaica Ave,Brooklyn,11208,,Yes,No,OPEN,8a-5p,8a-5p,8a-5p,,,8a-5p,,1019427,190387,School,
439,CC895,I.S. 171 Abraham Lincoln,528 RIDGEWOOD AVENUE,Brooklyn,11208,,No,Hours may be extended during a heat emergency.,OPEN,8a-5p,8a-5p,8a-5p,,,8a-5p,,1020459.179,189187.7749,School,
440,CC347,Cypress Hills Fulton St NSC - SENIORS ONLY,3208 Fulton St,Brooklyn,11208,(718) 235-0064,Yes,Hours may be extended during a heat emergency.,OPEN,8:15a-4:15p,8:15a-8:15p,8:15a-8:15p,8:15a-8:15p,8:15a-8:15p,10a-6p,,1018397,187787.0001,Senior center,
441,CC564,Spring Creek Library,12143 Flatlands Ave,Brooklyn,11207,(718) 257-6571,Yes,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,1015907.97,177298.9896,Library,
443,CC829,P.S. 268 Emma Lazarus,133 EAST 53 STREET,Brooklyn,11203,,No,Hours may be extended during a heat emergency.,OPEN,8a-5p,8a-5p,8a-5p,,,8a-5p,8a-5p,1004352.661,178693.4265,School,
445,CC1035,Rugby Library,1000 Utica Av,Brooklyn,11203,,No,,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,1003568.753,175598.5642,Library,
447,CC055,Crown Heights Library,560 New York Av,Brooklyn,11225,(718) 773-1180,Yes,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,998623,180171,Library,
448,CC992,PS 91,532 Albany Avenue,Brooklyn,11203,,Yes,No,OPEN,8a-5p,8a-5p,8a-5p,,,8a-5p,,1000718,180329,School,
449,CC140,Christopher C Blenman NSC - SENIORS ONLY,720 East New York Av,Brooklyn,11203,(718) 773-7400,Yes,Hours may be extended during a heat emergency.,OPEN,8a-4p,10a-7p,10a-7p,10a-7p,10a-7p,10a-4p,,1001344,180448,Senior center,
453,CC783,P.S. 198 Brooklyn,4105 FARRAGUT ROAD,Brooklyn,11210,,No,Hours may be extended during a heat emergency.,OPEN,8a-5p,8a-5p,8a-5p,,,8a-5p,,1001769.375,171504.4218,School,
454,CC785,P.S. 361 East Flatbush Early Childho,1957 NOSTRAND AVENUE,Brooklyn,11210,,No,Hours may be extended during a heat emergency.,OPEN,,,,,,8a-5p,,998773.0451,171630.0108,School,
455,CC563,Flatbush Library,22 Linden Blvd,Brooklyn,11226,(718) 856-0813,Yes,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,995838.0542,176792.6773,Library,
460,CC950,NYC Vaccine Hub - Flatbush YMCA ,1401 Flatbush Ave,Brooklyn,11210,,Yes,No,OPEN,9a-6p,9a-6p,9a-6p,9a-8p,9a-8p,9a-8p,9a-6p,997764.64,171305.3753,Other,
461,CC1054,Windsor Terrace,160 E 5 St,Brooklyn,11218,(718) 686-9707,Yes,No,OPEN,10a-6p,1p-8p,10a-6p,10a-8p,10a-6p,10a-5p,,990694,175615,Library,
462,CC278,Mapleton Library,1702 60 St,Brooklyn,11204,(718) 256-2117,Yes,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,987164,166245,Library,
463,CC231,Borough Park Library,1265 43 St,Brooklyn,11219,(718) 437-4085,No,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,987302.0523,172041.0589,Library,
466,CC485,McKinley Park Library,6802 Fort Hamilton Pkwy,Brooklyn,11219,(718) 748-8001,No,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,980940,168520,Library,
470,CC277,Bay Ridge Library,7223 Ridge Blvd,Brooklyn,11209,(718) 748-5709,Yes,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,976060,170114,Library,
472,CC486,Fort Hamilton Library,9424 4 Av,Brooklyn,11209,(718) 748-6919,Yes,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,975550.5566,163831.2139,Library,
479,CC1020,P.S. 204 Vince Lombardi,8101 15 AVENUE,Brooklyn,11228,,Yes,No,OPEN,8a-5p,8a-5p,8a-5p,8a-5p,8a-5p,8a-5p,,982545,162804,School,
481,CC059,New Utrecht Library,1743 86 St,Brooklyn,11214,(718) 236-4086,Yes,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,983316,160792,Library,
484,CC406,Ryder Library,5902 23 Av,Brooklyn,11204,(718) 331-2962,Yes,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,990901.6117,163670.6028,Library,
486,CC152,Highlawn Library,1664 W 13 St,Brooklyn,11223,(718) 234-7208,Yes,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,988067,159941,Library,
490,CC493,Midwood Library,975 E 16 St,Brooklyn,11230,(718) 252-0967,Yes,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,995279,167294,Library,
492,CC408,Kings Highway Library,2115 Ocean Av,Brooklyn,11229,(718) 375-3037,Yes,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,997269.2779,161608.6788,Library,
493,CC1021,J.H.S. 234 Arthur W. Cunningham,1875 EAST  17 STREET,Brooklyn,11229,,Yes,No,OPEN,8a-5p,8a-5p,8a-5p,8a-5p,8a-5p,8a-5p,,996705,159501,School,
500,CC377,Gravesend Library,303 Av X,Brooklyn,11223,(718) 382-5792,Yes,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,992081.961,154425.3839,Library,
501,CC881,P.S. 216 Arturo Toscanini,350 AVENUE X,Brooklyn,11223,,No,Hours may be extended during a heat emergency.,OPEN,8a-5p,8a-5p,8a-5p,,,8a-5p,,992663.6426,154342.0906,School,
504,CC318,Homecrest Library,2525 Coney Is Av,Brooklyn,11223,(718) 382-5924,Yes,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,995191.4939,156138.1848,Library,
505,CC449,Kings Bay Library,3650 Nostrand Av,Brooklyn,11229,(718) 368-1709,Yes,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,1000589.961,156006.6785,Library,
506,CC1038,Petco Ave Y Sheepshead - Pet Friendly,1610 Ave Y,Brooklyn,11235,(718) 743-2147,Yes,No,OPEN,9a-9p,9a-9p,9a-9p,9a-9p,9a-9p,9a-9p,9a-9p,997232,154197,Other,
510,CC056,Paerdegat Library,850 E 59 St,Brooklyn,11234,(718) 241-3994,Yes,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,1006460,169766,Library,
517,CC993,PS 114,1077 Remsen Avenue,Brooklyn,11236,,Yes,No,OPEN,8a-5p,8a-5p,8a-5p,,,8a-5p,,1009751,173431,School,
518,CC589,Canarsie Library,1580 Rockaway Pkwy,Brooklyn,11236,(718) 257-6547,Yes,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,1012134.711,173266.1545,Library,
520,CC373,Jamaica Bay Library,9727 Seaview Av,Brooklyn,11236,(718) 241-3571,Yes,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,1014964,170450,Library,
522,CC565,Mill Basin Library,2385 Ralph Ave,Brooklyn,11234,(718) 241-3973,Yes,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,1007277.651,165110.5632,Library,
523,CC911,P.S. 312 Bergen Beach,7103 AVENUE T,Brooklyn,11234,,No,Hours may be extended during a heat emergency.,OPEN,8a-5p,8a-5p,8a-5p,,,8a-5p,,1009415.699,165907.5695,School,
528,CC552,Brighton Beach,16 Brighton First Road,Brooklyn,11235,(718) 946 2917,Yes,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,993481.5679,149188.2537,Library,
530,CC990,IS 98,1401 Emmons Avenue,Brooklyn,11235,,Yes,No,OPEN,8a-5p,8a-5p,8a-5p,,,8a-5p,,996961,151953,School,
540,CC492,O'Dwyer,2945 W 33 St,Brooklyn,11224,(718) 310-5677,Yes,Hours may be extended during a heat emergency.,OPEN,6p-10p,6p-10p,6p-10p,6p-10p,6p-10p,3p-11p,3p-11p,984594.5146,148310.4362,Cornerstone Program,
545,CC627,Marlboro Community Center,2298 West 8th St.,Brooklyn,11223,(718) 333-0575,Yes,Hours may be extended during a heat emergency.,OPEN,12p-11p,12p-11p,12p-11p,12p-11p,12p-11p,12p-11p,12p-11p,990154.8691,154904.6961,Cornerstone Program,
551,CC021,Tompkins,736 Park Av,Brooklyn,11206,(718) 420-1966,Yes,Hours may be extended during a heat emergency.,OPEN,6p-11p,6p-11p,6p-11p,6p-11p,6p-11p,3p-11p,3p-11p,999229.6295,193463.5339,Cornerstone Program,
552,CC346,Boulevard,726 Stanley Av,Brooklyn,11207,(718) 272-0050,Yes,Hours may be extended during a heat emergency.,OPEN,6p-11p,6p-11p,6p-11p,6p-11p,6p-11p,3p-11p,3p-11p,1017114.763,179728.9989,Cornerstone Program,
568,CC232,Clarendon Library,2035 Nostrand Av,Brooklyn,11210,(718) 421-1159,Yes,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,998784.0826,170897.9458,Library,
573,CC1019,P.S. 138 Brooklyn,760 PROSPECT PLACE,Brooklyn,11216,,Yes,No,OPEN,8a-5p,8a-5p,8a-5p,8a-5p,8a-5p,8a-5p,,997719,184808,School,
574,CC427,Glenwood,5816 Farragut Rd,Brooklyn,11234,(347) 492-4813,Yes,Hours may be extended during a heat emergency.,OPEN,6p-11p,6p-11p,6p-11p,6p-11p,6p-11p,3p-11p,3p-11p,1006309.952,171170.1592,Cornerstone Program,
575,CC090,CCNS Glenwood NSC - SENIORS ONLY,5701 Avenue H,Brooklyn,11234,(718) 241-7711,Yes,Hours may be extended during a heat emergency.,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,10a-6p,,1005985.623,170149.2451,Senior center,
578,CC438,CCNS Pete McGuinness NSC - SENIORS ONLY,715 Leonard St,Brooklyn,11222,(718) 383-1940,Yes,No,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,10a-6p,,997277.1626,204855.6425,Senior center,
580,CC011,Wyckoff Gardens,280 Wyckoff St,Brooklyn,11217,(718) 312-2570,Yes,Hours may be extended during a heat emergency.,OPEN,6p-11p,6p-11p,6p-11p,6p-11p,6p-11p,3p-11p,3p-11p,988798.1014,188073.4376,Cornerstone Program,
584,CC1045,Petco Brooklyn Sunset Park - Pet Friendly,241 37th St,Brooklyn,11232,(718) 666-4019,Yes,No,OPEN,9a-9p,9a-9p,9a-9p,9a-9p,9a-9p,9a-9p,9a-9p,981972,178273,Other,
588,CC620,Bushwick Community Center,50 Humboldt St,Brooklyn,11206,(718) 453-8116,Yes,Hours may be extended during a heat emergency.,OPEN,3p-11p,3p-11p,3p-11p,3p-11p,3p-11p,3p-11p,3p-11p,1000777.709,195455.6833,Cornerstone Program,
596,CC951,NYC Vaccine Hub - Starrett City/Spring Creek Towers - Cityblock Health,1310 Pennsylvania Ave,Brooklyn,11239,,Yes,No,OPEN,10a-6p,10a-6p,10a-6p,10a-8p,10a-8p,10a-8p,10a-6p,1016718.575,175567.9547,Other,
599,CC160,Gerritsen Beach Library,2808 Gerritsen Av,Brooklyn,11229,(718) 368-1435,Yes,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,1005374.898,154736.8944,Library,
600,CC494,Sheepshead/Nostrand,3679 Nostrand Av,Brooklyn,11229,(718) 226-0429,Yes,Hours may be extended during a heat emergency.,OPEN,6p-11p,6p-11p,6p-11p,6p-11p,6p-11p,3p-11p,3p-11p,1000806.562,155798.0129,Cornerstone Program,
602,CC368,JASA Williamsburg NSC - SENIORS ONLY,202 Graham Av,Brooklyn,11206,(718) 388-6865,Yes,No,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,10a-4p,,999975.8225,197644.4033,Senior center,
604,CC955,NYC Vaccine Hub - The Livonia,503 Livonia Ave,Brooklyn,11207,,Yes,No,OPEN,,,,10a-8p,10a-8p,10a-8p,10a-8p,1012215.279,181272.0765,Other,
605,CC625,Howard Community Center,90 Watkins Street,Brooklyn,11212,(718) 266-0485,Yes,Hours may be extended during a heat emergency.,OPEN,6p-11p,6p-11p,6p-11p,6p-11p,6p-11p,3p-11p,3p-11p,1009585.027,183707.15,Cornerstone Program,
606,CC020,Langston Hughes,301 Sutter Av,Brooklyn,11212,(917) 893-8215,Yes,Hours may be extended during a heat emergency.,OPEN,6p-11p,6p-11p,6p-11p,6p-11p,6p-11p,3p-11p,3p-11p,1009488.939,182563.2691,Cornerstone Program,
608,CC185,Vandalia NSC - SENIORS ONLY,47 Vandalia Av,Brooklyn,11239,(718) 272-3949,Yes,No,OPEN,8a-4p,8a-4:30p,8a-4p,8a-4:30p,8a-8p,8a-4p,,1015588,176154.0001,Senior center,
612,CC1039,Petco Brooklyn Utica - Pet Friendly,2343 Utica Ave,Brooklyn,11234,(718) 338-3896,Yes,No,OPEN,9a-9p,9a-9p,9a-9p,9a-9p,9a-9p,9a-9p,9a-9p,1004798,162952,Other,
616,CC986,Van Dyke I,392 Blake Av,Brooklyn,11212,,Yes,No,OPEN,6p-11p,6p-11p,6p-11p,6p-11p,6p-11p,3p-11p,3p-11p,1010726.474,181944.8409,Cornerstone Program,
619,CC1041,Petco Gateway Brooklyn - Pet Friendly,528 Gateway Dr,Brooklyn,11239,(718) 647-2604,Yes,No,OPEN,9a-9p,9a-9p,9a-9p,9a-9p,9a-9p,9a-9p,9a-9p,1020036,177471,Other,
623,CC994,Spring Creek Educational Campus,1065 Elton Street,Brooklyn,11239,,Yes,No,OPEN,8a-5p,8a-5p,8a-5p,,,8a-5p,,1019199,178774,School,
624,CC949,Mass Vaccination Site - Brooklyn Army Terminal,140 58th Street,Brooklyn,11220,,Yes,No,OPEN,10a-10p,10a-10p,10a-10p,10a-10p,10a-10p,10a-10p,10a-10p,977618.0569,174450.1449,Other,
625,CC342,Kensington Library,4207 18th Av,Brooklyn,11218,(718) 436-0545,Yes,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,991077.847,169277.2316,Library,
628,CC1042,Petco Forest Hills - Pet Friendly,9111 Metropolitan Ave,Queens,11374,(718) 830-6261,Yes,No,OPEN,9a-9p,9a-9p,9a-9p,9a-9p,9a-9p,9a-9p,9a-9p,1023636,198638,Other,
629,CC966,NYC Vaccine Hub - Long Island City,5-17 46th Rd,Queens,11101,,Yes,No,OPEN,,,,10a-8p,10a-8p,10a-8p,10a-8p,996815.7068,211340.2125,Other,
630,CC512,Sunnyside Library,43-06 Greenpoint Av,Queens,11104,(718) 784-3033,Yes,No,OPEN,10a-6p,1p-6p,10a-6p,12p-8p,10a-6p,10a-5p,,1005952,209179,Library,
631,CC239,Astoria Library,14-01 Astoria Blvd,Queens,11102,(718) 278-2220,No,No,OPEN,10a-6p,1p-6p,10a-6p,12p-8p,10a-6p,10a-5p,,1003981,220678,Library,
637,CC061,Jackson Heights Library,35-51 81 St,Queens,11372,(718) 899-2500,Yes,No,OPEN,10a-6p,1p-6p,10a-6p,12p-8p,10a-6p,10a-5p,,1016096,212610,Library,
644,CC383,Elmcor NSC - SENIORS ONLY,98-19 Astoria Blvd,Queens,11368,(718) 457-9757,Yes,Hours may be extended during a heat emergency.,OPEN,9a-5p,9a-5p,9a-5p,9a-5p,9a-5p,11a-4p,,1022662,215195,Senior center,
648,CC969,Queens Mall - Former Modell's Location,58-56 92nd St,Queens,11373,,Yes,No,OPEN,8a-7p,9a-8p,9a-8p,9a-8p,9a-8p,9a-8p,9a-8p,1020478,206856.0001,Other,
649,CC167,LeFrak City Library,98-30 57 Avenue,Queens,11368,(718) 592-7677,Yes,No,OPEN,10a-6p,1p-6p,10a-6p,12p-8p,10a-6p,10a-5p,,1022586,207986,Library,
652,CC168,Forest Hills Library,108-19 71 Av,Queens,11375,(718) 268-7934,Yes,No,OPEN,10a-6p,1p-6p,10a-6p,12p-8p,10a-6p,10a-5p,,1027759,202392,Library,
658,CC387,Rego Park Library,91-41 63 Dr,Queens,11374,(718) 459-5140,Yes,No,OPEN,10a-6p,1p-6p,10a-6p,12p-8p,10a-6p,10a-5p,,1021800,204280,Library,
662,CC286,Ridgewood Library,20-12 Madison St,Queens,11385,(718) 821-4770,Yes,No,OPEN,10a-6p,1p-6p,10a-6p,12p-8p,10a-6p,10a-5p,,1011264,196206,Library,
668,CC198,Hanac Angelo Petromelis NSC - SENIORS ONLY,13-28 123 St,Queens,11356,(718) 961-0344,Yes,Hours may be extended during a heat emergency.,OPEN,8:30a-7p,8a-7p,8a-7p,8a-7p,8a-7p,11a-4p,,1027157,225599,Senior center,
672,CC392,Whitestone Library,151-10 14 Rd,Queens,11357,(718) 767-8010,Yes,No,OPEN,10a-6p,1p-6p,10a-6p,12p-8p,10a-6p,10a-5p,,1036687,226617,Library,
674,CC927,Tzu Chi Foundation,137-77 Northern Blvd,Queens,11354,(718) 888-0866 x206,Yes,No,OPEN,4p-6p,4p-6p,4p-6p,4p-6p,4p-6p,10a-4p,10a-4p,1031726.935,217727.1709,Other,
679,CC393,McGoldrick Library,155-06 Roosevelt Av,Queens,11354,(718) 461-1616,Yes,No,OPEN,12p-5p,12p-5p,12p-5p,12p-5p,12p-5p,12p-5p,,1036937,217580,Library,
680,CC077,East Flushing Library,196-36 Northern Blvd,Queens,11358,(718) 357-6643,Yes,No,OPEN,10a-6p,1p-6p,10a-6p,12p-8p,10a-6p,10a-5p,,1044014,215342,Library,
681,CC076,Auburndale-Clearview Library,25-55 Francis Lewis Blvd,Queens,11358,(718) 352-2027,Yes,No,OPEN,10a-6p,1p-6p,10a-6p,12p-8p,10a-6p,10a-5p,,1040654,221228,Library,
684,CC963,NYC Vaccine Hub - Korean Community Services,203-05 32nd Ave,Queens,11361,,Yes,No,OPEN,9a-7p,9a-7p,9a-7p,9a-8p,9a-8p,9a-8p,9a-7p,1043346.114,220228.948,Other,
687,CC292,Kew Gardens Hills Library,71-34 Main St,Queens,11367,(718) 261-6654,Yes,No,OPEN,10a-6p,1p-6p,10a-6p,12p-8p,10a-6p,10a-5p,,1033505.019,204152.9194,Library,
690,CC173,Hillcrest Library,187-05 Union Turnpike,Queens,11366,(718) 454-2786,Yes,No,OPEN,10a-6p,1p-6p,10a-6p,12p-8p,10a-6p,10a-5p,,1044689,205029,Library,
691,CC301,Bayside Library,214-20 Northern Blvd,Queens,11361,(718) 229-1834,Yes,No,OPEN,10a-6p,1p-6p,10a-6p,12p-8p,10a-6p,10a-5p,,1048413,216287,Library,
693,CC303,CCNS Bayside NSC - SENIORS ONLY,221-15 Horace Harding Exwy,Queens,11364,(718) 225-1144,Yes,No,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,10a-4p,,1051649,212566.0001,Senior center,
695,CC551,Windsor Park Library,79-50 Bell Boulevard,Queens,11364,(718) 468-8300,Yes,No,OPEN,12p-8p,1p-6p,10a-6p,12p-8p,10a-6p,10a-5p,,1051958.402,206964.3788,Library,
697,CC1051,Petco Little Neck - Pet Friendly,25451 Horace Harding Expy,Queens,11362,(718) 225-0342,Yes,No,OPEN,9a-8p,9a-8p,9a-8p,9a-8p,9a-8p,9a-8p,10a-7p,1060191,218094,Other,
700,CC295,Bellerose Library,250-06 Hillside Av,Queens,11426,(718) 831-8644,Yes,No,OPEN,10a-6p,1p-6p,10a-6p,12p-8p,10a-6p,10a-5p,,1062647,207233,Library,
701,CC1023,P.S. 097 Forest Park,85-52 85 STREET,Queens,11421,,Yes,No,OPEN,8a-5p,8a-5p,8a-5p,8a-5p,8a-5p,8a-5p,,1023066,192236,School,
702,CC181,Woodhaven Library,85-41 Forest Pkwy,Queens,11421,(718) 849-1010,Yes,No,OPEN,12p-8p,1p-6p,10a-6p,12p-8p,10a-6p,10a-5p,,1022662,192339,Library,
